DATE,ANALYST,TIME SENT,EVENT DAY,EVENT START,LOCATION,SPORT,EVENT TYPE,EVENT,RACE,NO.,SELECTION,UNITS INVESTED,MARKET ADVICE,BET TYPE,MARKET LINE / TOTAL,RECOMMENDED PRICE,RECORDING METHOD,ODDS ,RESULT,UNITS COLLECTED,P/L,CUMULATIVE P/L,CUMULATIVE UNITS INVESTED,POT%,ROI%,PROFIT ($100 UNIT),BET WIN LOSE,PRICE,COMMISION,EMAIL ODDS,AVAILABLE ODDS,BEST FIXED EMAIL SENT,BEST FIXED CLOSING,BETFAIR SP,BOB/BTSP,BEST TOTE,AGENCY,EMAIL BEST LINE / TOTAL,EMAIL BEST ODDS,RESULT,CLOSING LINE,CLOSING PINNACLE,CLOSING BETFAIR,RESULT,EMAIL,GOAT,BFSP,TF,SP,EMAIL,Mid Tote,GOAT,BFSP
05-07-17,Luke Murrell,,Wed,,Australia,Horse Racing,,Canterbury,,,Obsidian,1.5,,Win,,,,6,L,0,-1.5,346.3,4298.7,8.10%,346.30%,"$34,626.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
05-07-17,Luke Murrell,,Wed,,Australia,Horse Racing,,Canterbury,,,Rediy The Red,1.5,,Win,,,,7,L,0,-1.5,344.8,4300.2,8.00%,344.80%,"$34,476.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
08-07-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Kembla Grange,,,Canberra,1,,Win,,,,7,L,0,-1,343.8,4301.2,8.00%,343.80%,"$34,376.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
08-07-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Kembla Grange,,,Gaytimegirl,1,,Win,,,,19,L,0,-1,342.8,4302.2,8.00%,342.80%,"$34,276.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
08-07-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Kembla Grange,,,Kennedy,1.5,,Win,,,,3.8,L,0,-1.5,341.3,4303.7,7.90%,341.30%,"$34,126.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
08-07-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Kembla Grange,,,Level Eight,1,,Win,,,,3,W,3,2,343.3,4304.7,8.00%,343.30%,"$34,326.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
08-07-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Kembla Grange,,,Our Beatnik,1,,Win,,,,8,L,0,-1,342.3,4305.7,7.90%,342.30%,"$34,226.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
08-07-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Kembla Grange,,,Severance,0.5,,Win,,,,14,L,0,-0.5,341.8,4306.2,7.90%,341.80%,"$34,176.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
08-07-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Kembla Grange,,,We Could Be Heroes,0.5,,Win,,,,12,L,0,-0.5,341.3,4306.7,7.90%,341.30%,"$34,126.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
08-07-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Warwick Farm,,,Aquatic,0.5,,Win,,,,14,L,0,-0.5,340.8,4307.2,7.90%,340.80%,"$34,076.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
08-07-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Warwick Farm,,,Ghostly,1.3,,Win,,,,3.6,L,0,-1.25,339.5,4308.5,7.90%,339.50%,"$33,951.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
08-07-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Warwick Farm,,,La Chica Bella,1,,Win,,,,10,L,0,-1,338.5,4309.5,7.90%,338.50%,"$33,851.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
08-07-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Warwick Farm,,,La Chica Bella,1.3,,Place,,,,3,W,3.75,2.5,341,4310.7,7.90%,341.00%,"$34,101.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
