DATE,TIME,VENUE,RACE,SELECTION,JOCKEY,LAST 3 STARTS,RESULT,WIN/PLACE
14-Oct-20,15:49,IPSWICH,4,2 – BOLD HUNTER,R.WIGGINS,232,,
14-Oct-20,16:15,WARWICK FARM,5,6 – SNIPPY FOX,T.SHERRY(A),203,3RD,/$2.56
14-Oct-20,16:25,CAULFIELD,6,3 – CORUSCATE,D.OLIVER,8X1,WINNER,$5.40 /$2.00
14-Oct-20,16:29,IPSWICH,5,7 – PAREDO,R.FRADD,42X,WINNER,$5.90 /$1.98
14-Oct-20,16:35,HAMILTON,7,4 – BERTWHISTLE,L.NEINDORF(A),417,2ND,/ $2.92
14-Oct-20,16:55,WARWICK FARM,6,6 – MILITARY ACADEMY,J.MCDONALD,422,,
14-Oct-20,17:05,CAULFIELD,7,5 – MISSILE MANTRA,D.LANE,83,,
,,,,,,,,
,TIME,VENUE,RACE,SELECTION,JOCKEY,LAST 3 STARTS,RESULT,WIN/PLACE
13-Oct-20,12:00,KYNETON,1,13 – GIFTED MISS,Z.SPAIN,605,,
13-Oct-20,12:30,KYNETON,2,4 – HES GODS GIFT,J.LORENSINI,6X3,,
13-Oct-20,13:00,KYNETON,3,11 – DIVINE RULE,,,LATE,SCRATCHING
13-Oct-20,13:35,KYNETON,4,6 – TSUGARU,J.ALLEN,13,,
13-Oct-20,13:39,QUEANBEYAN,1,4 – TIZ WAR BRO,B.SPRIGGS,322,,
13-Oct-20,14:10,KYNETON,5,13 – OPOHO DREAMING,J.CHILDS,703,WINNER,$3.30 /$1.52
13-Oct-20,14:14,QUEANBEYAN,2,4 – REDICON,B.MCDOUGALL,2ND,2ND,/$1.22
13-Oct-20,14:25,PENOLA,2,5 – ELIZAS GOLD (BEST BET),J.POTTER,62,,
13-Oct-20,14:49,QUEANBEYAN,3,3 – BIG STEVE,A.SWEENEY,344,LATE,SCRATCHING
13-Oct-20,15:00,PENOLA,3,6 – PENONG,P.GATT,6,2ND,/$1.28
13-Oct-20,15:10,NEWCASTLE,3,3 – RUNNING FOR BUB,S.CLIPPERTON,721,WINNER,$3.25 /$1.80
13-Oct-20,15:31,TOWNSVILLE,2,2 – JOURNEY OF SONG (BEST BET),C.WHITELEY,242,3RD,/$1.10
13-Oct-20,15:45,NEWCASTLE,4,2 – ATHERTON,B.AVDULLA,X13,WINNER,$2.30 /$1.18
13-Oct-20,16:00,QUEANBEYAN,5,1 – CARIBBEAN GOLD,A.SWEENEY,462,,
13-Oct-20,16:08,TOWNSVILLE,3,8 – OUR CHIQUILLA,E.CASS(A),212,,
13-Oct-20,16:25,NEWCASTLE,5,10 – MUCH MUCH BETTER,T.BERRY,422,,
